,portfolio_value,returns
2020-06-12 10:00:00+00:00,98708.44544530808,0.0009674176430634063
2020-06-15 10:00:00+00:00,98419.59544530808,-0.002926294692383258
2020-06-16 10:00:00+00:00,98363.94544530808,-0.0005654361791287421
2020-06-17 10:00:00+00:00,98379.84544530808,0.00016164459373824158
2020-06-18 10:00:00+00:00,98761.44544530808,0.003878843255676223
2020-06-19 10:00:00+00:00,98986.69544530808,0.0022807483121005667
2020-06-22 10:00:00+00:00,99180.14544530808,0.0019543030417343843
2020-06-23 10:00:00+00:00,99445.14544530808,0.0026719057409139157
2020-06-24 10:00:00+00:00,98999.94544530808,-0.004476839950370848
2020-06-25 10:00:00+00:00,99058.24544530809,0.0005888892134007229
2020-06-26 10:00:00+00:00,99010.54544530809,-0.0004815348766330496
2020-06-29 10:00:00+00:00,98729.64544530808,-0.0028370715335082064
2020-06-30 10:00:00+00:00,98713.74544530809,-0.00016104585333287513
2020-07-01 10:00:00+00:00,98997.29544530809,0.002872446980112686
2020-07-02 10:00:00+00:00,99063.54544530809,0.0006692102011673917
2020-07-03 10:00:00+00:00,99005.24544530809,-0.0005885111393696407
2020-07-06 10:00:00+00:00,99180.14544530808,0.0017665730660363366
2020-07-07 10:00:00+00:00,99185.44544530808,5.34381148185048e-05
2020-07-08 10:00:00+00:00,99392.14544530808,0.0020839751142114338
2020-07-09 10:00:00+00:00,99821.44544530808,0.0043192547869512765
2020-07-10 10:00:00+00:00,99582.94544530808,-0.0023892661435230833
2020-07-13 10:00:00+00:00,99450.44544530808,-0.0013305491156893057
2020-07-14 10:00:00+00:00,99100.64544530808,-0.003517329645268963
2020-07-15 10:00:00+00:00,98999.94544530808,-0.0010161386895867208
2020-07-16 10:00:00+00:00,99079.44544530808,0.0008030307455464403
2020-07-17 10:00:00+00:00,99262.29544530809,0.0018454887305654477
2020-07-20 10:00:00+00:00,99315.29544530809,0.0005339388915219789
2020-07-21 10:00:00+00:00,99527.29544530809,0.0021346158116877234
2020-07-22 10:00:00+00:00,99405.39544530808,-0.001224789636396606
2020-07-23 10:00:00+00:00,99731.34544530808,0.0032789970659021783
2020-07-24 10:00:00+00:00,99394.79544530809,-0.0033745659250586924
