,transaction_str,txn_id
64,"[{'amount': 2, 'dt': Timestamp('2016-04-06 04:16:00+0000', tz='UTC'), 'price': 184.90000003081641, 'order_id': 'b579d44da08647fa906967e604af47e5', 'sid': Equity(7 [SBIN]), 'commission': None}]",64
65,"[{'amount': -1, 'dt': Timestamp('2016-04-07 04:16:00+0000', tz='UTC'), 'price': 87.14999997583838, 'order_id': '26b31791c5b942b2aece15c184b7c5a2', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-04-07 04:16:00+0000', tz='UTC'), 'price': 182.05000000742777, 'order_id': '0b1796876f3e4b01a2251c8124d7197e', 'sid': Equity(7 [SBIN]), 'commission': None}]",65
66,"[{'amount': -2, 'dt': Timestamp('2016-04-08 04:16:00+0000', tz='UTC'), 'price': 88.39999995373887, 'order_id': '9bf49303ac134eaaa319faa3cd35e9a2', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-04-08 04:16:00+0000', tz='UTC'), 'price': 181.10000004239157, 'order_id': 'bef2a9a0905e4ea89500b66baf946a4e', 'sid': Equity(7 [SBIN]), 'commission': None}]",66
67,"[{'amount': -1, 'dt': Timestamp('2016-04-11 04:16:00+0000', tz='UTC'), 'price': 89.24999988760284, 'order_id': 'fa3ab69a30c24d7b852e39af62613634', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",67
68,"[{'amount': -3, 'dt': Timestamp('2016-04-12 04:16:00+0000', tz='UTC'), 'price': 92.0499999849758, 'order_id': '90d0e4169eb74fa0aad405e1a0de548d', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -2, 'dt': Timestamp('2016-04-12 04:16:00+0000', tz='UTC'), 'price': 188.8999999542867, 'order_id': 'c33c24c15174417a917e4b5377369000', 'sid': Equity(7 [SBIN]), 'commission': None}]",68
69,"[{'amount': -4, 'dt': Timestamp('2016-04-13 04:16:00+0000', tz='UTC'), 'price': 94.99999995423364, 'order_id': '21c331107b974e528ac2d920a60f34a9', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",69
70,"[{'amount': -2, 'dt': Timestamp('2016-04-18 04:16:00+0000', tz='UTC'), 'price': 96.19999995496833, 'order_id': '00182b2234f74d0287dba66a577d88f2', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-04-18 04:16:00+0000', tz='UTC'), 'price': 187.7500000277033, 'order_id': 'e30a67834a4c4eeeaf53d06c61c937ea', 'sid': Equity(7 [SBIN]), 'commission': None}]",70
71,"[{'amount': -5, 'dt': Timestamp('2016-04-20 04:16:00+0000', tz='UTC'), 'price': 100.49999999013481, 'order_id': '643dff8fcb334cdf859f4f4fa27e14db', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",71
72,"[{'amount': -2, 'dt': Timestamp('2016-04-21 04:16:00+0000', tz='UTC'), 'price': 102.94999998192093, 'order_id': 'fe8fdbabe23c4942ba1f5e295cdd58a7', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -1, 'dt': Timestamp('2016-04-21 04:16:00+0000', tz='UTC'), 'price': 195.99999999918248, 'order_id': 'bff22e8c73d34e9a9cf73513833dffae', 'sid': Equity(7 [SBIN]), 'commission': None}]",72
73,[],73
